Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Northern,Yumbe,Kerwa,6894,1518,3840,7256,3906,15002,7682,4770,206,4039,4245,220,2911,3131
Northern,Yumbe,Kochi,8762,2708,5533,8204,4074,17811,8126,6586,267,5325,5592,396,3614,4010
Northern,Yumbe,Kululu,8030,2198,4817,6873,3507,15197,7003,5631,162,4443,4605,194,3069,3263
Northern,Yumbe,Kuru,8272,2980,6104,7240,4273,17617,7180,7121,268,5917,6185,396,4131,4527
Northern,Yumbe,Lodonga,6609,2151,4270,6450,3162,13882,6058,5295,178,3970,4148,251,2815,3066
Northern,Yumbe,Midigo,7882,4716,5224,5781,2827,13832,5092,6207,250,5605,5855,350,3863,4213
Northern,Yumbe,Odravu,7953,2822,5606,9193,4398,19197,9284,6917,313,4793,5106,504,3276,3780
Northern,Yumbe,Romogi,10180,4370,6271,7436,3875,17582,7079,6870,178,6855,7033,321,4619,4940
Northern,Yumbe,Yumbe T.C*,7930,1417,3130,6243,5725,15098,8444,3862,141,4787,4928,327,3266,3593
Northern,Yumbe,Yumbe Total,103697,34104,61731,94557,47964,204252,93288,74916,2687,62422,65109,3846,42837,46683
Northern,Zombo,Abanga,2110,2027,3004,4578,917,8499,3194,4065,165,1788,1953,161,1254,1415
Northern,Zombo,Atyak,3792,1389,2782,6677,975,10434,4194,4915,226,1961,2187,253,1332,1585
Northern,Zombo,Jangokoro,4892,2517,4147,8927,1561,14635,6382,6316,323,2913,3236,212,2133,2345
Northern,Zombo,Kango,6251,1957,4711,9725,2043,16479,7161,7247,319,3174,3493,267,2193,2460
Northern,Zombo,Nyapea,3141,1656,2820,6034,1477,10331,4882,4110,230,1883,2113,182,1314,1496
Northern,Zombo,Paidha,2464,1135,1926,4829,815,7570,3117,3402,131,1440,1571,104,1003,1107
Northern,Zombo,Paidha Town Council,5521,1233,2857,8683,4680,16220,9338,4472,298,3487,3785,213,2659,2872
Northern,Zombo,Warr,3469,906,1858,5726,1560,9144,4374,3580,153,1812,1965,142,1254,1396
Northern,Zombo,Zeu,6143,2304,4245,10415,2028,16688,7584,6935,334,3260,3594,259,2272,2531
Northern,Zombo,Zombo Town Council,2149,669,1388,3497,902,5787,2789,2244,128,1157,1285,71,854,925
Northern,Zombo,Zombo Total,39932,15793,29738,69091,16958,115787,53015,47286,2307,22875,25182,1864,16268,18132
Central,Buikwe,Central Division,6084,366,1217,6345,13687,21249,16648,1927,242,3616,3858,229,2741,2970
Central,Buikwe,Kawolo Division,8082,471,2773,9748,8428,20949,14144,4068,307,3910,4217,272,2840,3112
Central,Buikwe,Najjembe Division,6572,317,1947,7981,7118,17046,11726,3101,206,3214,3420,146,2390,2536
Central,Buikwe,Buikwe,4163,201,1044,4386,3351,8781,5534,1925,138,1904,2042,115,1365,1480
Central,Buikwe,Buikwe Town Council,3519,99,757,3247,4308,8312,5904,1169,161,1767,1928,137,1303,1440
Central,Buikwe,Najja,9055,766,2660,11605,7468,21733,13740,4869,297,4456,4753,225,3266,3491
Central,Buikwe,Ngogwe,7826,353,1891,9197,6057,17145,11223,3481,230,3534,3764,229,2455,2684
Central,Buikwe,Njeru Town Council,12100,479,2376,11277,23993,37646,28791,3978,419,6661,7080,483,4908,5391
Central,Buikwe,Nkokonjeru Town Council,1591,162,247,1747,2471,4465,3386,466,37,893,930,36,655,691
Central,Buikwe,Nyenga,10038,1175,3999,13155,6857,24011,14201,6663,398,4678,5076,352,3313,3665
Central,Buikwe,Ssi-Bukunja,5110,311,1777,7230,4134,13141,8345,3246,203,2174,2377,165,1541,1706
Central,Buikwe,Wakisi,8288,543,2967,10288,7950,21205,13123,5130,277,4057,4334,210,2967,3177
Central,Buikwe,Buikwe Total,82428,5243,23655,96206,95822,215683,146765,40023,2915,40864,43779,2599,29744,32343
Central,Bukomansimbi,Bigasa,9308,602,2721,12985,4426,20132,12773,4414,188,4502,4690,148,3259,3407
Central,Bukomansimbi,Bukomansimbi  Town Council,1957,104,484,2656,1829,4969,3681,627,79,960,1039,61,695,756
Central,Bukomansimbi,Butenga,8478,628,2209,11255,5356,18820,12774,3444,298,3898,4196,403,2581,2984
Central,Bukomansimbi,Kibinge,7176,283,1580,8996,5906,16482,11530,2627,130,3535,3665,174,2559,2733
Central,Bukomansimbi,Kitanda,6572,307,1669,8508,3506,13683,9122,2601,111,3126,3237,115,2246,2361
Central,Bukomansimbi,Bukomansimbi Total,33491,1924,8663,44400,21023,74086,49880,13713,806,16021,16827,901,11340,12241
Central,Butambala,Budde,2916,125,483,3625,2710,6818,5023,786,89,1355,1444,104,987,1091
Central,Butambala,Bulo,4320,126,721,4522,3552,8795,6179,1273,102,2120,2222,83,1558,1641
Central,Butambala,Gombe Town Council,3501,125,606,3587,3345,7538,5436,1000,65,1742,1807,52,1264,1316
Central,Butambala,Kalamba,4435,225,835,4730,3848,9413,6434,1545,135,2082,2217,119,1513,1632
Central,Butambala,Kibibi,3122,103,510,3199,3181,6890,4904,964,64,1540,1604,66,1123,1189
Central,Butambala,Ngando,4337,210,1158,4935,2416,8509,5448,1745,179,1967,2146,105,1484,1589
Central,Butambala,Butambala Total,22631,914,4313,24598,19052,47963,33424,7313,634,10806,11440,529,7929,8458
Central,Buvuma,Bugaya,642,38,408,1707,805,2920,1868,842,31,244,275,18,180,198
Central,Buvuma,Busamuzi,2947,326,1564,4700,1887,8151,4434,2903,97,1233,1330,112,806,918
Central,Buvuma,Buvuma Town Council,1619,160,802,2967,1393,5162,3111,1578,52,672,724,54,444,498
Central,Buvuma,Buwooya,2365,236,1226,3139,1081,5446,2455,2329,91,991,1082,75,695,770
Central,Buvuma,Bweema,1026,133,827,3096,1368,5291,3360,1567,82,379,461,62,282,344
Central,Buvuma,Lubya,791,82,628,2093,1080,3801,2431,1150,48,307,355,29,220,249
Central,Buvuma,Lwajje,353,53,426,1570,804,2800,1949,697,24,146,170,16,112,128
Central,Buvuma,Lyabaana,259,45,472,2450,1471,4393,3275,991,22,111,133,16,86,102
Central,Buvuma,Nairambi,3100,379,1932,5605,2561,10098,5502,3736,180,1178,1358,119,840,959
Central,Buvuma,Buvuma Total,13102,1452,8285,27327,12450,48062,28385,15793,627,5261,5888,501,3665,4166
Central,Gomba,Kabulasoke,10941,538,4059,14429,5707,24195,15032,5800,175,5141,5316,178,3640,3818
Central,Gomba,Kanoni Town Council,2497,103,596,3320,2337,6253,4445,934,61,1251,1312,55,945,1000
Central,Gomba,Kyegonza,6752,300,2083,8769,3789,14641,9359,3209,163,3093,3256,143,2191,2334
Central,Gomba,Maddu,6635,652,4159,10062,3947,18168,10366,5592,155,3338,3493,136,2391,2527
Central,Gomba,Mpenja,6793,273,2075,9697,4299,16071,10435,3395,111,3161,3272,103,2241,2344
Central,Gomba,Gomba Total,33618,1866,12972,46277,20079,79328,49637,18930,665,15984,16649,615,11408,12023
Central,Kalangala,Bujumba,959,160,859,4291,2426,7576,5541,1669,52,392,444,41,279,320
Central,Kalangala,Kalangala Town Council,638,21,166,1177,1559,2902,2389,283,15,309,324,21,230,251
Central,Kalangala,Mugoye,1627,134,819,4196,1935,6950,4853,1611,32,692,724,42,462,504
Central,Kalangala,Bubeke,310,34,452,1741,1125,3318,2432,771,19,111,130,13,80,93
Central,Kalangala,Bufumira,815,127,951,3488,1806,6245,4410,1585,31,296,327,31,208,239
Central,Kalangala,Kyamuswa,366,39,277,1707,1038,3022,2330,560,18,148,166,12,114,126
Central,Kalangala,Mazinga,200,31,373,2348,988,3709,2685,940,24,74,98,16,59,75
Central,Kalangala,Kalangala Total,4915,546,3897,18948,10877,33722,24640,7419,191,2022,2213,176,1432,1608
Central,Kalungu,Bukulula,9645,504,2611,11656,6844,21111,14188,3893,202,4702,4904,3232,297,3529
Central,Kalungu,Kalungu,8391,432,2163,10575,6019,18757,12610,3560,144,3906,4050,2782,137,2919
Central,Kalungu,Kalungu Town Council,1691,77,460,2044,1597,4101,2894,677,34,777,811,543,48,591
Central,Kalungu,Kyamulibwa,7307,638,1602,9127,4941,15670,10468,2764,119,3824,3943,2779,122,2901
Central,Kalungu,Lukaya Town council,4471,240,972,5473,5950,12395,9080,1649,156,2258,2414,1688,125,1813
Central,Kalungu,Lwabenge,7466,477,2786,10087,3511,16384,9717,4257,138,3549,3687,2479,194,2673
Central,Kalungu,Kalungu Total,38971,2368,10594,48962,28862,88418,58957,16800,793,19016,19809,13503,923,14426
Central,Kampala,Central Division,8474,939,3209,11904,37828,52941,44956,3211,216,5823,6039,447,4381,4828
Central,Kampala,Kawempe Division,44800,2180,7958,47183,156011,211152,178851,11034,1267,27772,29039,1516,21559,23075
Central,Kampala,Lubaga Division,50625,2460,9511,54514,175771,239796,204273,11117,1498,31694,33192,1614,24627,26241
Central,Kampala,Makindye Division,51370,3121,10218,55964,185201,251383,212493,13375,1556,33240,34796,3074,24549,27623
Central,Kampala,Nakawa Division,39551,1926,6211,39142,156928,202281,172865,9868,1028,26089,27117,2291,19222,21513
Central,Kampala,Kampala Total,194820,10626,37107,208707,711739,957553,813438,48605,5565,124618,130183,8942,94338,103280
Central,Kayunga,Bbaale,487,2634,1732,4770,2219,8721,4040,2482,144,1470,1614,160,1040,1200
Central,Kayunga,Galiraya,834,4097,1902,7285,2718,11905,5408,2125,169,2083,2252,129,1487,1616
Central,Kayunga,Kayonza,1588,9728,4877,16700,5938,27515,6693,2264,466,6051,6517,322,4389,4711
Central,Kayunga,Kitimbwa,1083,7183,3546,11682,5943,21171,4162,2108,415,4852,5267,313,3501,3814
Central,Kayunga,Busaana,1057,8997,4609,14840,6679,26128,4994,2890,346,6256,6602,304,4509,4813
Central,Kayunga,Kangulumira,3021,6287,3412,12991,9745,26148,7824,4322,349,5768,6117,388,4055,4443
Central,Kayunga,Kayunga,2616,4301,2444,10348,7269,20061,6151,2774,209,4577,4786,284,3213,3497
Central,Kayunga,Kayunga Town Council,2015,2384,1029,5004,8386,14419,5013,2028,188,2748,2936,155,2084,2239
Central,Kayunga,Nazigo,2787,4457,2685,10678,6904,20267,3808,1815,370,4496,4866,295,3232,3527
Central,Kayunga,Kayunga Total,79727,6151,26236,94298,55801,176335,106026,44296,2656,38301,40957,2350,27510,29860
Central,Kiboga,Bukomero,3020,198,1337,4346,2083,7766,4844,1885,97,1389,1486,69,1024,1093
Central,Kiboga,Bukomero Town Council,2561,93,567,3147,2845,6559,4674,1048,57,1259,1316,51,914,965
Central,Kiboga,Ddwaniro,2206,146,1439,3129,1703,6271,3695,1807,52,1083,1135,50,794,844
Central,Kiboga,Kapeke,2920,339,1788,3759,2098,7645,4433,2211,46,1493,1539,45,1066,1111
Central,Kiboga,Kibiga,4997,430,2648,7613,2691,12952,7678,3703,120,2333,2453,122,1626,1748
Central,Kiboga,Kiboga Town Council,3283,113,673,4044,5622,10339,8064,1026,93,1782,1875,115,1319,1434
Central,Kiboga,Lwamata,5759,383,2565,8024,3832,14421,8995,3612,156,2644,2800,205,1849,2054
Central,Kiboga,Muwanga,3528,417,1908,5150,1991,9049,5241,2646,71,1783,1854,58,1319,1377
Central,Kiboga,Kiboga Total,28274,2119,12925,39212,22865,75002,47624,17938,692,13766,14458,715,9911,10626
Central,Kyankwanzi,Bananywa,5857,685,3377,8566,3413,15356,8778,4813,181,2662,2843,129,1883,2012
Central,Kyankwanzi,Butemba,6432,997,3467,10921,3299,17687,9958,5719,256,3031,3287,192,2179,2371
Central,Kyankwanzi,Butemba Town Council,2542,300,1196,4098,2036,7330,4335,2117,98,1326,1424,97,966,1063
Central,Kyankwanzi,Gayaza,3466,565,2055,6809,1810,10674,6426,3052,120,1753,1873,129,1221,1350
Central,Kyankwanzi,Kyankwanzi,2121,239,2423,2793,1924,7140,3569,2741,49,1103,1152,131,726,857
Central,Kyankwanzi,Mulagi,2589,147,918,3654,1891,6463,4083,1494,69,1325,1394,66,957,1023
Central,Kyankwanzi,Nkandwa,2706,194,1035,4062,1417,6514,3817,1816,92,1266,1358,58,930,988
Central,Kyankwanzi,Nsambya,4523,638,2906,7676,2839,13421,7546,4364,190,2225,2415,127,1615,1742
Central,Kyankwanzi,Ntwetwe,2910,579,2418,5615,1031,9064,5119,3077,93,1410,1503,70,998,1068
Central,Kyankwanzi,Ntwetwe  Town Council,1777,124,448,2976,1921,5345,3747,953,59,913,972,65,656,721
Central,Kyankwanzi,Wattuba,4044,296,1774,6513,2709,10996,6747,2784,121,2104,2225,115,1498,1613
Central,Kyankwanzi,Kyankwanzi Total,38967,4764,22017,63683,24290,109990,64125,32930,1328,19118,20446,1179,13629,14808
Central,Luwero,Bamunanika,6305,262,1244,7780,5311,14335,9827,2317,238,2892,3130,132,2190,2322
Central,Luwero,Kalagala,8973,310,1805,11045,9655,22505,15708,3708,151,4434,4585,248,3163,3411
Central,Luwero,Kamira,5444,420,1922,8281,2993,13196,8022,3440,142,2579,2721,142,1814,1956
Central,Luwero,Kikyusa,7114,479,2204,9848,5305,17357,11276,3721,226,3363,3589,159,2426,2585
Central,Luwero,Zirobwe,9470,520,2725,12216,7347,22288,14553,4659,321,4433,4754,212,3240,3452
Central,Luwero,Bombo Town Council,4711,194,779,4293,8828,13900,10717,1182,219,2642,2861,179,2003,2182
Central,Luwero,Butuntumula,7832,317,2312,9440,5111,16863,11014,3301,208,3674,3882,203,2635,2838
Central,Luwero,Katikamu,9328,370,1694,10788,9223,21705,15691,2836,193,4564,4757,194,3315,3509
Central,Luwero,Luweero Town Council,7808,254,1296,7406,13760,22462,17941,1777,345,4081,4426,416,2924,3340
Central,Luwero,Luwero,7479,348,2024,8952,5353,16329,10196,3726,350,3364,3714,301,2411,2712
Central,Luwero,Makulubita,6746,283,1685,9277,6390,17352,12203,2736,103,3388,3491,121,2445,2566
Central,Luwero,Nyimbwa,7024,315,1581,8045,8236,17862,12694,2652,146,3417,3563,212,2476,2688
Central,Luwero,Wobulenzi Town Council,4995,126,706,4555,9220,14481,11399,1147,106,2801,2907,97,2111,2208
Central,Luwero,Luwero Total,93229,4198,21977,111926,96732,230635,161241,37202,2748,45632,48380,2616,33153,35769
Central,Lwengo,Kisekka,10566,565,2316,13200,8550,24066,3647,48283,327,5106,5433,376,3557,3933
Central,Lwengo,Kkingo,7551,309,1547,9439,6439,17425,3056,33953,181,3568,3749,166,2528,2694
Central,Lwengo,Kyazanga,7858,491,2907,10036,3235,16178,3944,34424,145,3606,3751,136,2555,2691
Central,Lwengo,Kyazanga Town Council,3046,130,699,3581,3386,7666,1098,15076,119,1436,1555,80,1074,1154
Central,Lwengo,Lwengo,10870,963,3420,14704,5172,23296,5479,49586,321,5014,5335,329,3476,3805
Central,Lwengo,Lwengo Town Council,3069,168,673,3584,2514,6771,1082,14046,91,1451,1542,57,1058,1115
Central,Lwengo,Malongo,8418,467,3341,11021,4252,18614,4846,38405,178,3991,4169,189,2834,3023
Central,Lwengo,Ndagwe,8880,708,2572,11370,3661,17603,4049,38322,237,3942,4179,166,2755,2921
Central,Lwengo,Lwengo Total,60258,3801,17475,76935,37209,131619,27201,272095,1599,28114,29713,1499,19837,21336
Central,Lyantonde,Kaliiro,3757,312,1566,5737,1691,8994,5497,2276,148,1793,1941,77,1356,1433
Central,Lyantonde,Kasagama,1866,295,1502,3128,1269,5899,3383,1860,46,1010,1056,46,742,788
Central,Lyantonde,Kinuuka,1643,146,963,2553,1009,4525,2722,1230,101,794,895,42,616,658
Central,Lyantonde,Lyantonde,3956,270,1620,5393,1658,8671,5329,2245,89,1808,1897,55,1286,1341
Central,Lyantonde,Lyantonde Town Council,1981,60,518,3085,4167,7770,6307,683,56,1077,1133,50,804,854
Central,Lyantonde,Mpumudde,4596,422,2690,7071,2662,12423,7473,3432,102,2206,2308,107,1551,1658
Central,Lyantonde,Lyantonde Total,17799,1505,8859,26967,12456,48282,30711,11726,542,8688,9230,377,6355,6732
Central,Masaka,Bukakata,2889,209,1419,5783,2379,9581,6441,2282,92,1283,1375,85,873,958
Central,Masaka,Buwunga,9249,357,1772,12761,6543,21076,15378,2988,136,4379,4515,130,3128,3258
Central,Masaka,Kabonera,7285,250,1298,8203,6747,16248,12011,1968,101,3560,3661,108,2517,2625
Central,Masaka,Kyanamukaaka,6929,257,1499,9809,4506,15814,11297,2493,140,3110,3250,116,2189,2305
Central,Masaka,Kyesiiga,5009,396,1724,8054,2780,12558,8183,2811,112,2400,2512,95,1734,1829
Central,Masaka,Mukungwe,8932,529,1752,10962,9586,22300,16707,2687,208,4235,4443,168,3060,3228
Central,Masaka,Katwe-Butego Division,4028,129,696,4323,9413,14432,11829,898,65,2290,2355,82,1694,1776
Central,Masaka,Kimaanya-Kyabakuza Division,5031,237,939,5171,12190,18300,14889,1271,100,3015,3115,182,2231,2413
Central,Masaka,Nyendo-Ssenyange Division,6531,217,1097,8356,14158,23611,19029,1899,249,3372,3621,199,2587,2786
Central,Masaka,Masaka Total,55883,2581,12196,73422,68302,153920,115764,19297,1203,27644,28847,1165,20013,21178
Central,Mityana,Busimbi Division,3141,122,830,4053,2953,7836,5336,1405,114,1501,1615,94,1089,1183
Central,Mityana,Central Division,9488,463,1730,10003,18878,30611,24639,2305,481,5037,5518,519,3679,4198
Central,Mityana,Ttamu Division,4867,166,1019,6241,4630,11890,8381,1895,226,2178,2404,132,1626,1758
Central,Mityana,Bbanda,2798,226,1001,4072,1578,6651,4071,1649,74,1349,1423,56,979,1035
Central,Mityana,Butayunja,2146,125,658,3344,1684,5686,3588,1293,78,1071,1149,67,817,884
Central,Mityana,Kakindu,3723,295,938,5061,3446,9445,6296,1739,108,1873,1981,147,1326,1473
Central,Mityana,Maanyi,4219,311,1742,6463,2797,11002,6912,2584,225,1926,2151,320,1272,1592
Central,Mityana,Malangala,5069,179,1178,6419,4409,12006,8214,2144,139,2344,2483,118,1700,1818
Central,Mityana,Bulera,6003,382,2142,9170,4720,16032,10041,3834,141,3030,3171,130,2249,2379
Central,Mityana,Kalangaalo,6222,408,2105,9213,3954,15272,9949,3220,159,2937,3096,126,2143,2269
Central,Mityana,Kikandwa,5891,406,1765,8837,4620,15222,10333,2945,151,2683,2834,143,1896,2039
Central,Mityana,Namungo,3541,140,1081,4981,2680,8742,5622,1935,100,1586,1686,86,1160,1246
Central,Mityana,Ssekanyonyi,7454,523,1905,10161,7284,19350,13615,3303,284,3408,3692,201,2479,2680
Central,Mityana,Mityana Total,64562,3746,18094,88018,63633,169745,116997,30251,2280,30923,33203,2139,22415,24554
Central,Mpigi,Buwama,10167,645,2954,13332,9249,25535,16776,5445,271,4844,5115,336,3387,3723
Central,Mpigi,Kammengo,7923,479,2408,10161,6772,19341,13032,3707,184,3841,4025,447,2473,2920
Central,Mpigi,Kiringente,3568,241,1070,4833,5508,11411,8512,1573,131,1813,1944,151,1322,1473
Central,Mpigi,Kituntu,4930,276,1294,6480,3000,10774,7336,1890,114,2334,2448,130,1673,1803
Central,Mpigi,Mpigi Town Council,8670,370,1641,9887,10770,22298,16133,3226,178,4317,4495,174,3153,3327
Central,Mpigi,Muduuma,5733,314,1586,8083,6536,16205,11311,2969,216,2636,2852,176,1946,2122
Central,Mpigi,Nkozi,8484,543,2180,10734,7578,20492,14464,3377,239,3974,4213,223,2869,3092
Central,Mpigi,Mpigi Total,49475,2868,13133,63510,49413,126056,87564,22187,1333,23759,25092,1637,16823,18460
Central,Mubende,Butoloogo,7750,1808,6134,12966,2380,21480,11341,7836,240,3741,3981,270,2530,2800
Central,Mubende,Kitenga,10478,1676,7095,17168,5549,29812,16606,9541,598,5002,5600,551,3551,4102
Central,Mubende,Kiyuni,4700,545,1427,8515,2623,12565,8089,2941,229,2154,2383,166,1533,1699
Central,Mubende,Madudu,6228,1331,3548,11650,3136,18334,10757,5477,225,3087,3312,262,2162,2424
Central,Mubende,Bagezza,2263,295,1347,3438,831,5616,3191,1748,79,1063,1142,52,741,793
Central,Mubende,Kasambya,6687,1076,3424,10248,4851,18523,11918,4302,214,3365,3579,197,2416,2613
Central,Mubende,Kibalinga,6558,1012,3847,11198,2885,17930,10050,5705,296,3138,3434,155,2351,2506
Central,Mubende,Kigando,7689,844,4298,12131,3995,20424,11846,5947,262,3795,4057,202,2764,2966
Central,Mubende,Nabingoola,6971,860,3551,11163,3048,17762,10404,5052,194,3468,3662,167,2519,2686
Central,Mubende,Bukuya,5877,858,1901,8712,4966,15579,10209,3233,166,3083,3249,132,2311,2443
Central,Mubende,Kalwana,6897,613,2399,10133,3704,16236,10136,3880,359,3087,3446,367,2174,2541
Central,Mubende,Kassanda,8962,605,2367,13185,6356,21908,14615,4227,261,4321,4582,224,3135,3359
Central,Mubende,Kiganda,7780,491,2851,11331,5054,19236,11914,4620,400,3595,3995,351,2593,2944
Central,Mubende,Kitumbi,9389,1618,6177,15200,3976,25353,13948,8360,337,4550,4887,290,3195,3485
Central,Mubende,Makokoto,1749,137,585,2350,872,3807,2341,962,49,770,819,53,528,581
Central,Mubende,Manyogaseka,2051,251,1438,3250,992,5680,3143,1851,53,1014,1067,46,708,754
Central,Mubende,Myanzi,4537,195,1234,6294,3292,10820,7386,2005,121,2110,2231,169,1483,1652
Central,Mubende,Nalutuntu,5305,300,1866,7203,3479,12548,8087,2716,167,2594,2761,217,1769,1986
Central,Mubende,Eastern Division,4076,336,1426,6118,6556,14100,10129,2184,212,2250,2462,197,1642,1839
Central,Mubende,Western Division,4738,329,1140,7614,5652,14406,10227,2289,232,2382,2614,195,1768,1963
Central,Mubende,Southern Division,5460,386,1224,7632,7702,16558,12180,2258,195,2877,3072,233,2058,2291
Central,Mubende,Mubende Total,126145,15566,59279,197499,81899,338677,208517,87134,4889,61446,66335,4496,43931,48427
Central,Mukono,Central Division,10529,449,1646,8252,28552,38450,31682,2345,522,5886,6408,675,4283,4958
Central,Mukono,Goma Division,14779,577,2535,13790,36288,52613,42060,4275,496,8427,8923,584,6380,6964
Central,Mukono,Koome Island,1840,217,1326,6586,3862,11774,8666,2444,131,697,828,126,465,591
Central,Mukono,Kyampisi,8894,406,1829,10860,10317,23006,16681,3353,305,4184,4489,280,3001,3281
Central,Mukono,Mpatta,3331,191,1232,4920,2657,8809,5652,2060,124,1488,1612,95,1125,1220
Central,Mukono,Mpunge,2807,131,802,4089,2344,7235,4894,1508,72,1259,1331,62,885,947
Central,Mukono,Nakisunga,9553,443,2357,11434,12012,25803,18550,3917,534,4528,5062,642,3149,3791
Central,Mukono,Nama,9596,586,2749,11501,15951,30201,22112,4426,624,4723,5347,818,3224,4042
Central,Mukono,Ntenjeru,8325,531,2035,10194,8815,21044,14477,3742,339,3881,4220,274,2819,3093
Central,Mukono,Kasawo,7407,398,2470,8816,7199,18485,12100,3823,332,3415,3747,360,2428,2788
Central,Mukono,Kimenyedde,7640,529,2421,8347,7061,17829,12016,3287,336,3482,3818,452,2308,2760
Central,Mukono,Nabbaale,7568,396,1827,8635,7839,18301,11990,3777,578,3276,3854,254,2596,2850
Central,Mukono,Nagojje,6594,405,2557,8361,7166,18084,11524,4207,239,3194,3433,207,2309,2516
Central,Mukono,Ntunda,3159,229,1085,3968,2531,7584,4829,1632,106,1564,1670,128,1113,1241
Central,Mukono,Seeta Namuganga,7980,511,3039,9675,5612,18326,11242,4361,376,3770,4146,257,2785,3042
Central,Mukono,Mukono Total,110002,5999,29910,129428,158206,317544,228475,49157,5114,53774,58888,5214,38870,44084
Central,Nakaseke,Butalangu Town Council,640,81,403,817,485,1705,1032,479,20,304,324,18,201,219
Central,Nakaseke,Kapeeka,4593,342,1854,6648,4201,12703,8316,2771,210,2147,2357,204,1530,1734
Central,Nakaseke,Kasangombe,4490,279,1121,5876,3866,10863,7339,1959,150,2212,2362,170,1553,1723
Central,Nakaseke,Kikamulo,4036,240,1396,5207,2352,8955,5351,2326,138,1879,2017,127,1340,1467
Central,Nakaseke,Kinoni,989,94,1354,1044,778,3176,1355,1439,14,596,610,26,416,442
Central,Nakaseke,Kinyogoga,1458,207,1472,1961,1619,5052,2866,1643,20,776,796,78,501,579
Central,Nakaseke,Kito,1937,127,881,2822,1066,4769,2904,1296,80,871,951,88,570,658
Central,Nakaseke,Kiwoko Town Council,2127,98,675,2210,2663,5548,3771,988,100,1083,1183,78,808,886
Central,Nakaseke,Nakaseke,3580,276,1289,5079,2445,8813,5498,2145,172,1670,1842,156,1184,1340
Central,Nakaseke,Nakaseke Town Council,1231,67,319,1313,2013,3645,2688,459,41,652,693,28,503,531
Central,Nakaseke,Ngoma,1154,137,1461,1485,776,3722,1821,1472,25,590,615,65,382,447
Central,Nakaseke,Ngoma Town Council,910,73,650,1391,1400,3441,2331,770,34,532,566,29,390,419
Central,Nakaseke,Semuto,4819,252,1365,6547,3911,11823,7915,2301,163,2267,2430,205,1605,1810
Central,Nakaseke,Semuto Town Council,1972,115,493,2208,2963,5664,4181,795,100,942,1042,141,634,775
Central,Nakaseke,Wakyato,2134,244,1459,2765,1625,5849,3435,1658,113,966,1079,83,706,789
Central,Nakaseke,Nakaseke Total,36070,2632,16192,47373,32163,95728,60803,22501,1380,17487,18867,1496,12323,13819
Central,Nakasongola,Kakooge,3884,443,1533,5718,2860,10111,6261,2426,102,1988,2090,96,1480,1576
Central,Nakasongola,Kakooge Town Council,1705,110,437,2271,1893,4601,3305,657,56,923,979,82,648,730
Central,Nakasongola,Kalongo,4127,514,1187,5302,2511,9000,5090,2473,92,2084,2176,121,1462,1583
Central,Nakasongola,Kalungi,5126,575,1146,6246,3517,10909,6332,2916,109,2579,2688,112,1844,1956
Central,Nakasongola,Lwabiyata,3225,281,1219,4235,2155,7609,4487,2028,76,1601,1677,89,1121,1210
Central,Nakasongola,Lwampanga,5585,510,1795,8375,5043,15213,9804,3573,158,2658,2816,144,1887,2031
Central,Nakasongola,Migeera Town Council,869,77,322,1333,1394,3049,2220,474,26,488,514,27,374,401
Central,Nakasongola,Nabisweera,3104,328,1647,4613,2170,8430,4810,2509,79,1533,1612,86,1090,1176
Central,Nakasongola,Nakasongola Town Council,1601,73,327,1665,2963,4955,3679,593,35,931,966,84,661,745
Central,Nakasongola,Nakitoma,2632,279,1279,3338,2094,6711,3873,1854,114,1321,1435,119,915,1034
Central,Nakasongola,Wabinyonyi,3740,341,1463,4979,2593,9035,5210,2438,74,1893,1967,69,1374,1443
Central,Nakasongola,Nakasongola Total,35598,3531,12355,48075,29193,89623,55071,21941,921,17999,18920,1029,12856,13885
Central,Rakai,Kakuuto,7614,1056,4322,10130,4801,19253,11229,5644,237,3668,3905,188,2599,2787
Central,Rakai,Kasasa,3405,421,1149,4809,2474,8432,5614,1681,107,1749,1856,124,1228,1352
Central,Rakai,Kibanda,4469,1185,3330,6391,2033,11754,6418,3986,185,2248,2433,324,1372,1696
Central,Rakai,Kifamba,3048,348,956,4305,1659,6920,4467,1526,107,1453,1560,119,1013,1132
Central,Rakai,Kyebe,3763,448,1511,7052,2274,10837,7213,2518,75,1795,1870,104,1227,1331
Central,Rakai,Byakabanda,3781,555,1375,5593,2092,9060,5639,2150,143,1841,1984,160,1282,1442
Central,Rakai,Ddwaniro,6959,877,2498,9536,3225,15259,9200,4050,195,3391,3586,171,2376,2547
Central,Rakai,Kacheera,4543,637,2755,7032,1704,11491,5797,4178,136,2229,2365,105,1600,1705
Central,Rakai,Kagamba,7093,936,3324,9583,2866,15773,8928,4707,178,3466,3644,271,2347,2618
Central,Rakai,Kiziba,3914,815,2150,6079,1375,9604,5750,2713,139,1944,2083,70,1371,1441
