Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Western,Kasese,Kilembe,2713,371,1240,3476,1444,6160,3390,1949,191,1520,1711,250,1036,1286
Western,Kasese,Kitswamba,5582,533,2451,8395,4473,15319,9229,4095,222,1567,1789,137,1171,1308
Western,Kasese,Kyabarungira,3497,302,1429,4065,2341,7835,4324,2318,335,4476,4811,319,3206,3525
Western,Kasese,Lake Katwe,3351,465,2197,5634,2613,10444,5676,3606,335,4476,4811,319,3206,3525
Western,Kasese,Maliba,9675,888,3696,11950,6163,21809,12663,6118,335,4476,4811,319,3206,3525
Western,Kasese,Muhokya,3598,492,1916,5430,2231,9577,5378,3003,139,1724,1863,136,1222,1358
Western,Kasese,Rukoki,2885,567,1661,3147,1412,6220,3247,2156,86,1383,1469,55,980,1035
Western,Kasese,Kasese Total,132224,15292,59729,180101,109085,348915,205943,97155,5028,66477,71505,5069,47540,52609
Western,Kibaale,Birembo,4961,688,2511,8306,2742,13559,8428,3580,153,2431,2584,108,1752,1860
Western,Kibaale,Bwanswa,2993,242,657,5532,2210,8399,5714,1524,124,1543,1667,104,1141,1245
Western,Kibaale,Kakindo,9873,2111,6199,17912,4656,28767,15972,9538,432,4876,5308,328,3439,3767
Western,Kibaale,Kakumiro  Town Council,1822,66,219,2671,2383,5273,4000,569,48,963,1011,51,685,736
Western,Kibaale,Kasambya,5897,801,2237,9956,3056,15249,9431,3914,200,2739,2939,164,1907,2071
Western,Kibaale,Kisiita,10827,1550,5402,17865,4977,28244,16588,8143,343,5261,5604,185,3837,4022
Western,Kibaale,Mpasaana,4273,616,2254,7412,1505,11171,6515,3325,114,2097,2211,70,1505,1575
Western,Kibaale,Nalweyo,5752,848,2847,10426,2943,16216,9395,4928,305,2704,3009,278,1851,2129
Western,Kibaale,Nkooko,6292,978,2715,11448,2811,16974,10102,4680,274,3114,3388,162,2257,2419
Western,Kibaale,Burora,2368,513,1315,3735,997,6047,3328,1899,87,1231,1318,84,852,936
Western,Kibaale,Bwikara,7808,1471,3733,12777,3329,19839,11489,5673,264,3927,4191,179,2881,3060
Western,Kibaale,Kabamba,2880,664,1736,5464,1073,8273,4533,2655,165,1446,1611,120,1061,1181
Western,Kibaale,Kagadi,2491,392,963,4094,1115,6172,3813,1444,89,1242,1331,60,922,982
Western,Kibaale,Kagadi  Town Council,4243,323,986,5836,5339,12161,8965,1566,143,2262,2405,144,1656,1800
Western,Kibaale,Kiryanga,3946,975,2691,7423,1739,11853,7015,3577,172,2058,2230,138,1451,1589
Western,Kibaale,Kyakabadiima,1956,264,811,2650,870,4331,2549,1129,58,962,1020,25,706,731
Western,Kibaale,Kyanaisoke,2792,332,777,4952,1850,7579,5073,1387,102,1491,1593,87,1106,1193
Western,Kibaale,Kyaterekera,4416,1053,2830,6531,1874,11235,5456,4275,168,2343,2511,150,1647,1797
Western,Kibaale,Kyenzige,3205,277,824,4956,1980,7760,5155,1429,113,1638,1751,91,1206,1297
Western,Kibaale,Mabaale,4869,518,1427,7481,3322,12230,7968,2536,218,2388,2606,160,1778,1938
Western,Kibaale,Mpeefu,7369,1198,4101,11475,2792,18368,10091,5812,252,3654,3906,159,2647,2806
Western,Kibaale,Muhorro,2828,351,1256,4351,1241,6848,4064,1820,112,1366,1478,60,1039,1099
Western,Kibaale,Muhorro  Town Council,4301,407,1143,6618,3359,11120,7596,1924,164,2212,2376,146,1630,1776
Western,Kibaale,Ndaiga,1106,339,1595,2525,746,4866,2483,1882,103,585,688,72,456,528
